都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,文化財分類,場所名称,住所,緯度,経度,電話番号,員数（数）,員数（単位）,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,概要,説明,URL,備考
22012,1200100011,青森県,青森市,小牧野遺跡,コマキノイセキ,,史跡,,青森県青森市大字野沢字小牧野,40.737428,140.727889,017-718-1392,-,-,青森市ほか,1995/3/17,,,,,縄文時代後期の環状列石（ストーン・サークル）を中心とする遺跡,縄文時代後期の環状列石（ストーン・サークルとも言う）を中心とする遺跡。平成元年（1989）に青森山田高校の葛西勵・高橋潤等の発掘によって構造が明らかとなり、翌2 年から青森市教育委員会が調査及び管理と整備を受け継いでいる。　発見された環状列石は中央の組石を中心に内帯・外帯の三重の輪に加え、一部四重となっており、その主体部は斜面上に造成された地形を利用し配石されている。さらに数十個の石を円形に配石した特殊組石や、外帯から延びる数条の直線状並びに弧状を示す配石なども見られる。なお、環状列石の直径は、最大で55mを測る。縄文時代後期の大型壷形土器（土器棺）・赤色切断壷形土器をはじめとする十腰内1式土器・石器・石製品（三角形岩版等）・土製品（土偶・鐸形土製品等）のほか、列石内の覆土から続縄文時代の土器が出土している。,https://www.city.aomori.aomori.jp/bunkaisan/bunka-sports-kanko/bunka/bunka-geijutsu/inishie/bunkazai/01.html,
22012,1200100012,青森県,青森市,高屋敷館遺跡,タカヤシキダテイセキ,,史跡,,青森県青森市浪岡大字高屋敷字野尻,40.736554,140.584037,017-718-1392,-,-,青森市,2001/1/29,,,,,10世紀後半から12世紀前半にかけて形成された古代環濠集落,高屋敷館遺跡は、大釈迦川西岸の梵珠山地に連なる標高35～45ｍの段丘状に立地する。発掘調査の結果、本遺跡は10世紀後半から12世紀前半にかけて形成された古代環濠集落であり、文献記録の少ない北日本にあっては当時の社会状況を理解する上で重要な遺跡である。特に生活住居である竪穴建物跡を内包した環濠と土塁の存在から、当時の社会が緊張関係にあったと想定されている。「蝦夷」と呼ばれた人々の具体的歴史を解明する上で極めて重要である。 ,https://www.city.aomori.aomori.jp/bunkaisan/bunka-sports-kanko/bunka/bunka-geijutsu/inishie/bunkazai/01.html,
22012,1200100013,青森県,青森市,青森県立郷土館（旧青森銀行本店）,アオモリケンリツキョウドカン,,登録有形文化財,,青森県青森市本町2-8-14,40.827227,140.748567,017-777-1585,1,棟,青森県,2004/2/17,,,,,株式会社第五十九銀行青森支店として造られた建物,昭和6年に株式会社第五十九銀行青森支店として造られた昭和初期の鉄筋コンクリート造の建物である。　設計は、重要文化財「旧第五十九銀行本店本館」の設計者堀江佐吉の七男、堀江幸治によるもので、柱を建物全体のデザインとして取り入れ、余分な装飾はせず、古典主義建築の骨格を保持しつつ細部装飾を省略した、本県を代表するモダニズム建築である。　営業室の各柱上部のレリーフや、階段室の手すり部分に使われているエンブレムなどは、旧第五十九銀行本店本館に使用されたものと同じ意匠が使われている。 ,https://www.city.aomori.aomori.jp/bunkaisan/bunka-sports-kanko/bunka/bunka-geijutsu/inishie/bunkazai/01.html,
22012,1200100014,青森県,青森市,旧増川営林署庁舎（展示館しょうわ）,キュウマスカワエイリンショチョウシャ（テンジカンショウワ）,,登録有形文化財,,青森県青森市浪岡大字女鹿沢字野尻14-134,40.7187613,140.5757306,0172-62-2321,1,棟,個人,2022/10/31,,,,12月～3月冬季休館,増川営林署庁舎として造られた建物,元は津軽海峡に東面した営林署の洋風庁舎。平屋建、切妻造金属板葺、正面北寄りに玄関棟を張出して切妻造ポーチを備え、内部は大きな事務室。外壁は下見板張で縦長窓を並べ、妻壁は漆喰仕上に半円アーチ形窓を開けてスクラッチタイルで縁取り、意匠に凝る。　昭和37年頃に西側へ署長室等増築、平成20年に外ヶ浜町から移築し、署長室等一部撤去して中二階を設けた。展示館として活用。 ,https://www.city.aomori.aomori.jp/bunkaisan/bunka-sports-kanko/bunka/bunka-geijutsu/inishie/bunkazai/01.html,
22012,1200100015,青森県,青森市,郁田流箏曲,イクタリュウソウキョク,,国選択記録作成等の措置を講ずべき無形文化財,,青森県青森市,,,,-,-,個人,1980/4/4,,,,,津軽に伝流した箏曲,箏組歌の16曲を主体として、付け物（褒美の曲）として段物の9曲を伝承する。江戸・上方で行われる曲と同名であっても内容や奏法に違いがあるばかりでなく、津軽にしか伝承されていない楽曲も数曲ある。箏曲の歴史を解明する上でも貴重な流派である。明和か天明のころ（1764～1788）、生田検校の弟子であったという曽呂都が弘前に来て伝えた流派である。初代よりの系譜も明らかであり、譜本、その他の史料も豊富に残されている。　現在、県技芸の保持者は、櫛引禮子、葛西洋子、葛西淑子（平成18年追加認定）の3名である。 ,https://www.city.aomori.aomori.jp/bunkaisan/bunka-sports-kanko/bunka/bunka-geijutsu/inishie/bunkazai/01.html,
22012,1200100016,青森県,青森市,徳川家康自筆日課念仏,トクガワイエヤスジヒツニッカネンブツ,,重要美術品,青森県立郷土館,青森県青森市本町2-8-14,40.827227,140.748567,017-777-1585,1,巻,個人,1933/12/14,,,,休館中,徳川家康自筆の念仏,巻末に添えた「東照公親筆陣中日課念仏百万遍一巻」とある由来書によれば、明治38年（1905）春、その筆者である八戸市光龍寺住職石川未逢が上京し、東京在住松岡操氏に請い、その所蔵する日課念仏を割愛されて帰り、これを数葉に分割し信者に配与したものである。そのうちの三点が本県で認定されている。　徳川家康が晩年に「南無阿弥陀仏」の名号を日課として書きつらねたものである。縦6段に名号を書きつらねている念仏の末行には「慶長十七子年七月朔日家康」とある。 ,https://www.city.aomori.aomori.jp/bunkaisan/bunka-sports-kanko/bunka/bunka-geijutsu/inishie/bunkazai/01.html,
22012,1200100017,青森県,青森市,石棒,セキボウ,,県重宝,,青森県青森市,,,,1,個,個人,1955/1/7,,,,,縄文時代中期ないし後期の遺物（弘前市南溜池畔出土）,文政10年（1827年）、弘前城下南溜池のほとりから出土し、時の藩主に献納され、次いで柿崎朝次郎の所有となり、代々引き継いで現在にいたる。両端に膨隆部を有し、両端から棒の中央部に向かって太さを増す。全面が研磨された優品である。,https://www.city.aomori.aomori.jp/bunkaisan/bunka-sports-kanko/bunka/bunka-geijutsu/inishie/bunkazai/01.html,
22012,1200100018,青森県,青森市,棟札,ムナフダ,,県重宝,青森県立郷土館,青森県青森市本町2-8-14,40.827227,140.748567,017-777-1585,1,枚,個人,1955/1/7,,,,休館中,室町時代前期の歴史資料,この棟札は八戸市松館にあった宮内観音堂で御堂の棟札とともに発見された。　銘は、「先御造永正平二十一年十一月十八日御造永明徳五年甲戌歳極月十二日」とある。　平朝臣守長が新山宮を再建したときの棟札である。明徳5年（1394）12月21日と記されているが、同年7月5日応永と改元されており、正しくは応永元年である。また、これより先の造営は正平21年（1366）であると記されている。明徳5年は、南部政光が南北朝合体により、甲斐の本領を離れ八戸根城に移ってきた年の翌年にあたる。付近にある根城南部氏の菩提寺大慈寺や松館川対岸の新山神社との関連が考えられる史料である。杉板を用いたもので、本県最古の棟札である。 ,https://www.city.aomori.aomori.jp/bunkaisan/bunka-sports-kanko/bunka/bunka-geijutsu/inishie/bunkazai/01.html,
22012,1200100019,青森県,青森市,蕨手刀,ワラビテトウ,,県重宝,青森県立郷土館,青森県青森市本町2-8-14,40.827227,140.748567,017-777-1585,1,口,青森県,1956/5/14,,,,休館中,奈良時代の刀の一種,奈良時代の刀の一種で、柄頭の形状が早蕨のように渦巻いた曲線を持つことから付いた名称である。　全国で250例近い出土例が確認されており、東北地方を中心に東日本に集中している。地域的、年代的にも「蝦夷」と呼ばれた人々が所有した刀と考えられている。　90年程前に出土したもので腐食が激しく、切先を失い、刀身にも2か所にわたって欠落が見られる。 ,https://www.city.aomori.aomori.jp/bunkaisan/bunka-sports-kanko/bunka/bunka-geijutsu/inishie/bunkazai/01.html,
22012,1200100020,青森県,青森市,縄文式尖底土器,ジョウモンシキセンテイドキ,,県重宝,青森県立郷土館,青森県青森市本町2-8-14,40.827227,140.748567,017-777-1585,,,県立名久井農業高校,1956/5/14,,,,休館中,茅山式土器の影響を強く受けた珍しい土器,口縁から底部にかけ2か所に段を有し、口頚部に横長の透かしをもつ。器面には横走の貝殻条痕と、ロ頚部には2ないし3段の刺突文が施されている。東北北部において、南関東の早期後半に位置づけられる茅山式土器の影響を強く受けた珍しい土器で ある。 ,https://www.city.aomori.aomori.jp/bunkaisan/bunka-sports-kanko/bunka/bunka-geijutsu/inishie/bunkazai/01.html,
22012,1200100021,青森県,青森市,亀ヶ岡式壷形丹漆塗土器,カメガオカシキツボガタニウルシヌリドキ,,県重宝,青森県立郷土館,青森県青森市本町2-8-14,40.827227,140.748567,017-777-1585,1,個,青森県,1956/5/14,,,,休館中,縄文時代晩期の土器（つがる市木造亀ケ岡出土）,口頚部が大きく外反した広ロの壷形土器である。口縁部と頚部に沈線が器体を巡り、 器面は内外とも丹漆で塗装された無文土器である。底は若干上げ底気味である。器形も美しく、当時の工芸技術の水準の高さを示す優品である。 ,https://www.city.aomori.aomori.jp/bunkaisan/bunka-sports-kanko/bunka/bunka-geijutsu/inishie/bunkazai/01.html,
22012,1200100022,青森県,青森市,縄文式土偶,ジョウモンシキドグウ,,県重宝,青森県立郷土館,青森県青森市本町2-8-14,40.827227,140.748567,017-777-1585,1,個,青森県,1956/5/14,,,,休館中,縄文時代晩期の土偶（三戸郡三戸町八日町出土）,中空の遮光器土偶である。脚部を欠失しているが、頭部・乳房・手の表現はすばらしい。下腹部は若干張り気味である。顔面並びに体部の文様は、浮彫状にC字及びX字の形に表され、磨消縄文と磨かれた滑沢面とが見事に調和している,https://www.city.aomori.aomori.jp/bunkaisan/bunka-sports-kanko/bunka/bunka-geijutsu/inishie/bunkazai/01.html,
22012,1200100023,青森県,青森市,古瀬戸瓶子,コセトヘイシ,,県重宝,,青森県青森市,,,,1,個,個人,1956/5/14,,,,,古瀬戸瓶子,わが国では釉をかけた焼き物に対して積極的な努力が見られるようになったのは鎌倉時代からで、宋の焼きものの影響を強く受けている。この種のわが国で作られた陶磁器を古瀬戸という。焼かれた時期は、鎌倉時代から室町時代にかけてであろう。本古瀬戸は、首、口が小さく作られ肩張りの強い瓶子で、素焼きの表面に印を捺して瑞花文を入れ、その上に透明な黄褐色がかった釉をかけたもので、釉がよくまわらないで素焼きの膚がそのまま出た部分もある。大正10年ごろ、青森市郊外の新井田川岸から出土したといわれる。おそらく青森県に現存する唯一の古瀬戸完形品であろう。,https://www.city.aomori.aomori.jp/bunkaisan/bunka-sports-kanko/bunka/bunka-geijutsu/inishie/bunkazai/01.html,
22012,1200100024,青森県,青森市,亀ヶ岡式壷形彩色土器,カメガオカシキツボガタサイシキドキ,,県重宝,青森県立郷土館,青森県青森市本町2-8-14,40.827227,140.748567,,1,個,個人,1956/5/14,,,,休館中,縄文時代晩期の土器（つがる市木造亀ヶ岡出土）,口頚部を半分失っているが、体部は肩が張り、底に4個の小突起をもっている。体部器面は、黒漆で塗装した上を、ベンガラを混ぜた漆で文様が描かれている。今なお、数千年前の色彩をとどめ、考古学資料として貴重であるとともに、当時の工芸技術水準の高さを示す優品である。 ,https://www.city.aomori.aomori.jp/bunkaisan/bunka-sports-kanko/bunka/bunka-geijutsu/inishie/bunkazai/01.html,
22012,1200100025,青森県,青森市,亀ヶ岡式壷形羽状縄文土器,カメガオカシキツボガタウジョウジョウモンドキ,,県重宝,青森県立郷土館,青森県青森市本町2-8-14,40.827227,140.748567,017-777-1585,1,個,青森県,1956/5/14,,,,休館中,縄文時代晩期の土器（つがる市木造亀ヶ岡出土）,小型の壷形土器で口縁の一部を欠いている。口頚部は無文で研磨され、体部は斜縄文を交互に6段施し、羽状縄文が形作られている。いわゆる、亀ヶ岡式土器に属する完形品であり、その形が優れているばかりでなく、胴部に施した羽状縄文も精巧を極め、美しく磨かれた頚部と調和している。 ,https://www.city.aomori.aomori.jp/bunkaisan/bunka-sports-kanko/bunka/bunka-geijutsu/inishie/bunkazai/01.html,
22012,1200100026,青森県,青森市,亀ヶ岡式浅鉢形台付土器,カメガオカシキアサバチガタダイツキドキ,,県重宝,青森県立郷土館,青森県青森市本町2-8-14,40.827227,140.748567,017-777-1585,1,個,青森県,1956/5/14,,,,休館中,縄文時代晩期～弥生時代前期の土器（つがる市木造亀ヶ岡出土）,底の部分が若干開く台部と、口縁に6個の山形突起ならびに変形工字文をもつ浅鉢が合体した土器である。器の内外面は研磨され滑沢面をなしている。大変、洗練された外観を有し、当時の工芸技術水準の高さを示す優品である。 ,https://www.city.aomori.aomori.jp/bunkaisan/bunka-sports-kanko/bunka/bunka-geijutsu/inishie/bunkazai/01.html,
22012,1200100027,青森県,青森市,木彫阿弥陀如来立像,モクチョウアミダニョライリツゾウ,,県重宝,,青森県青森市大字野内字菊川267,40.851271,140.819499,,1,躯,當古寺,1957/1/11,,,,,阿弥陀如来立像,寺伝によると元和7年（1621）に大阪から移され、本尊として安置されたものといわれる。鎌倉時代以降に流行した来迎印を結ぶ三尺阿弥陀如来立像で、踏割蓮華の台座に立つ。損傷や近世の補修によってやや印象が損なわれている部分もあるが、端正なお姿で、胴体正面の着衣の柔らかく繊細な衣文の表現など、確かな鎌倉時代の造像と推定される。 ,https://www.city.aomori.aomori.jp/bunkaisan/bunka-sports-kanko/bunka/bunka-geijutsu/inishie/bunkazai/01.html,
22012,1200100028,青森県,青森市,世界地図屏風,セカイチズビョウブ,,県重宝,,青森県青森市,,,,1,隻,個人,1958/1/22,,,,,江戸時代初期の世界地図を描いた屏風,世界地図を極彩色で六曲屏風に収めたものである。徳川時代の初頭にいわゆる南蛮人が将来した地図を原本として制作したもので、描写は精緻で布彩もすばらしい。所伝によると、徳川家康が当時三浦按針のもたらした世界地図を屏風に仕立て、居城を飾ったのが始まりといわれる。 ,https://www.city.aomori.aomori.jp/bunkaisan/bunka-sports-kanko/bunka/bunka-geijutsu/inishie/bunkazai/01.html,
22012,1200100029,青森県,青森市,縄文式注口土器,ジョウモンシキチュウコウドキ,,県重宝,青森県立郷土館,青森県青森市本町2-8-14,40.827227,140.748567,017-777-1585,1,個,青森県,1961/1/14,,,,休館中,縄文時代晩期の土器（岩手県ニ戸市釜浜・笛鮎出土）,急須形をなす大型の注口土器である。底面は丸みを持ち、体部が最大に張る箇所に、やや上向きの状態で注口が付き、正面突起の飾りと対をなしている。器体の全面は丁寧に磨かれており、上半分は浮彫りによるＸ字状並びに三叉文が施されている。その大きさと、文様の豪壮さは、古代工芸品としても、学術的にも優れたものである。 ,https://www.city.aomori.aomori.jp/bunkaisan/bunka-sports-kanko/bunka/bunka-geijutsu/inishie/bunkazai/01.html,
22012,1200100030,青森県,青森市,漆塗壷形土器,ウルシヌリツボガタドキ,,県重宝,青森県立郷土館,青森県青森市本町2-8-14,40.827227,140.748567,017-777-1585,1,個,青森県,1962/3/13,,,,休館中,縄文時代晩期の土器（つがる市木造亀ケ岡出土）,均整のとれた壷形土器で、器体外面と口縁の内面に丹漆が塗られている。ロ縁部に4個の小突起があり、その突起に連なる浮彫り装飾が見られる。底に4個の小突起が付けられ、脚の役目を果たしている。亀ヶ岡遺跡出土品のうち、四脚付壷型土器は珍しく、同型の漆塗土器の代表的な優品である。 ,https://www.city.aomori.aomori.jp/bunkaisan/bunka-sports-kanko/bunka/bunka-geijutsu/inishie/bunkazai/01.html,
22012,1200100031,青森県,青森市,勾玉,マガタマ,,県重宝,青森県立郷土館,青森県青森市本町2-8-14,40.827227,140.748567,017-777-1585,1,個,青森県,1962/3/13,,,,休館中,縄文時代晩期の土器（つがる市木造亀ケ岡出土）,縄文時代には、硬玉（翡翠）・蛇絞岩・碧玉・安山岩などの石を利用して垂飾品（玉類）を作り、身を飾った。中期には円形の玉を、後期はカツオ節状に、晩期は写真のように「く」または「コ」の字に似た形状へと変化する。硬玉製の勾玉は比較的珍しく、 本品のような形の整ったものは、勾玉中最高の部類に属する優品である。 ,https://www.city.aomori.aomori.jp/bunkaisan/bunka-sports-kanko/bunka/bunka-geijutsu/inishie/bunkazai/01.html,
