種類,名称,所在地,電話番号,所有者,指定年月日,摘要
市指定有形文化財,旧琴似川流域の竪穴住居跡分布図,北海道札幌市中央区南22条西13丁目札幌市埋蔵文化財センタ一,011-512-5430,札幌市,2004-08-25,明治27・28年頃高畑宜一氏により作成された、市内都心部から北区麻生町付近までの擦文時代（約1300年～800年前）の竪穴住居跡の窪みを約720カ所記録した分布図。
市指定有形文化財,札幌市N30遺跡出土品,北海道札幌市中央区南22条西13丁目札幌市埋蔵文化財センタ一,011-512-5430,札幌市,2004-08-25,平成7・8年に、西区二十四軒4条1丁目で発掘調査した縄文時代後期から晩期（約3700～2300年前）の出土品（1413点）。縄文時代晩期末の墓からは、土偶やサメの歯も出土。
市指定有形文化財,札幌独立キリスト教会文書,北海道札幌市中央区大通西22丁目札幌独立キリスト教会,011-641-3522,札幌独立キリスト教会,2016-07-28,クラ一ク博士起草の「イエスを信ずる者の契約」等、明治初期の文書計7点。
市指定有形文化財,旧札幌控訴院,北海道札幌市中央区大通西13丁目,011-251-0731,札幌市,2018-03-08,大正15年に建てられた、煉瓦・軟石・RC構造の洋風建築物。
市指定無形文化財,丘珠獅子舞,北海道札幌市東区丘珠（保持団体住所）,,丘珠獅子舞保存会,1974-10-25,明治25年に富山県からの移住者によって伝えられ、伝承してきた獅子舞。
市指定史跡,手稲山口バッタ塚,北海道札幌市手稲区手稲山口324-308,,札幌市,1978-08-21,明治16年にトノサマバッタの大群を駆除するために、大量の卵のうを埋めた畝状の塚跡。
市指定有形文化財及び史跡,札幌村・大友亀太郎関係歴史資料及び史跡,北海道札幌市東区北13条東16丁目札幌村郷土記念館,011-782-2294,札幌市,1987-02-20,慶応2年（1866年）、札幌村は大友亀太郎によって開拓が進められ、その後、玉葱栽培の先進地として発展した。これらの歴史資料及び役宅跡。
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
